(BH_Max),Anisotropy Constant K1,Anisotropy Constant K2,Anisotropy_Energy,Anisotropy_Field,Coercivity,Crystal_Structure,Curie(TC),Curie_Weiss,DOI,Experimental,Intrinsic Coercivity,Lattice_Parameter,Lattice_Structure,Magnet_type,Magnetic_type,Material_Density,Material_Name,Material_Type,Neel(TN),Remanence_Magnetization,Saturation_Magnetization,Space_Group,Substrate,Thickness
"{'Value': '34.2', 'Units': 'MGOe', 'Temperature': 'Room Temperature'}",,,,,"{'Value': '19.5', 'Units': 'kOe', 'Temperature': 'Room Temperature'}",Tetragonal,281.5 °C,,10.1016/j.matchar.2023.113527,true,,"{'a': '8.790', 'b': 'NA', 'c': '12.185'}",,Hard,Ferromagnetic,,Nd-Ce-Fe-B with DyCu addition,Bulk,,"{'Value': '12.0', 'Units': 'kG', 'Temperature': 'Room Temperature'}",,P42/mnm,,
"{'Value': '47.49', 'Units': 'MGOe', 'Temperature': 'NA'}","{'Value': '4.61', 'Units': 'MJ/m^3', 'Type': 'NA', 'Temperature': 'NA'}",,,,"{'Value': '21.4', 'Units': 'kOe', 'Temperature': 'NA'}",,,,10.1016/j.matchar.2024.113817,true,,,,Hard,Ferromagnetic,,GBD Nd-Fe-B Magnet,Bulk,,"{'Value': '13.93', 'Units': 'kG', 'Temperature': 'NA'}","{'Value': '1.16', 'Units': 'MA/m', 'Temperature': 'NA'}",,,
"{'Value': '43.90', 'Units': 'MGOe', 'Temperature': 'NA'}","{'Value': '4.43', 'Units': 'MJ/m^3', 'Type': 'NA', 'Temperature': 'NA'}",,,,"{'Value': '21.4', 'Units': 'kOe', 'Temperature': 'NA'}",,,,10.1016/j.matchar.2024.113817,true,,,,Hard,Ferromagnetic,,CSH Nd-Fe-B Magnet,Bulk,,"{'Value': '13.49', 'Units': 'kG', 'Temperature': 'NA'}","{'Value': '1.20', 'Units': 'MA/m', 'Temperature': 'NA'}",,,
"{'Value': '37.05', 'Units': 'MGOe', 'Temperature': 'NA'}",,,,,"{'Value': '14.09', 'Units': 'kOe', 'Temperature': 'NA'}",Tetragonal,,,10.1016/j.matchar.2024.113908,true,,,,Hard,Ferromagnetic,,"(Nd, Ce)-Fe-B Magnet",Bulk,,"{'Value': '12.46', 'Units': 'kG', 'Temperature': 'NA'}",,P 4_2/mnm,,
,,,,,,fcc,,,10.1016/j.matchar.2024.113947,true,,,,Soft,Ferromagnetic,,Cu50Co50,Bulk,,,"{'Value': '71.72', 'Units': 'emu/g', 'Temperature': 'Room Temperature'}",,,
"{'Value': '7.5', 'Units': 'MGOe', 'Temperature': 'NA'}",,,,,"{'Value': '10.3', 'Units': 'kOe', 'Temperature': 'NA'}",,,,10.1016/j.matchar.2024.114228,true,,,,Hard,Ferromagnetic,7.43 g/cm^3,Nd-Fe-B,Bulk,,"{'Value': '6.2', 'Units': 'kG', 'Temperature': 'NA'}",,,,
"{'Value': '46.1', 'Units': 'MGOe', 'Temperature': 'NA'}",,,,,"{'Value': '17.8', 'Units': 'kOe', 'Temperature': 'NA'}",,,,10.1016/j.matchar.2024.114249,true,,,,Hard,Ferromagnetic,,Nd-Fe-B with La-Al-Cu,Bulk,,"{'Value': '13.6', 'Units': 'kG', 'Temperature': 'NA'}",,,,
"{'Value': '42.8', 'Units': 'MGOe', 'Temperature': 'NA'}",,,,,"{'Value': '20.9', 'Units': 'kOe', 'Temperature': 'NA'}",,,,10.1016/j.matchar.2024.114249,true,,,,Hard,Ferromagnetic,,Nd-Fe-B with Pr-Al-Cu,Bulk,,"{'Value': '12.6', 'Units': 'kG', 'Temperature': 'NA'}",,,,
,"{'Value': '128', 'Units': 'kJ/m^3', 'Type': 'NA', 'Temperature': 'NA'}",,,,"{'Value': '68', 'Units': 'A/m', 'Temperature': 'NA'}",BCC,1067 K,,10.1016/j.matchar.2024.114402,true,,"{'a': '2.8726', 'b': 'NA', 'c': 'NA'}",BCC,Soft,Ferromagnetic,,Si0.24 HEA,Bulk,,,"{'Value': '110', 'Units': 'Am^2/kg', 'Temperature': 'NA'}",,,
,"{'Value': '310', 'Units': 'kJ/m^3', 'Type': 'NA', 'Temperature': 'NA'}",,,,"{'Value': '77', 'Units': 'A/m', 'Temperature': 'NA'}",BCC,1097 K,,10.1016/j.matchar.2024.114402,true,,"{'a': '2.8686', 'b': 'NA', 'c': 'NA'}",BCC,Soft,Ferromagnetic,,Si-free HEA,Bulk,,,"{'Value': '115', 'Units': 'Am^2/kg', 'Temperature': 'NA'}",,,
,"{'Value': '611', 'Units': 'kJ/m^3', 'Type': 'NA', 'Temperature': 'NA'}",,,,"{'Value': '86', 'Units': 'A/m', 'Temperature': 'NA'}",BCC,1053 K,,10.1016/j.matchar.2024.114402,true,,"{'a': '2.8702', 'b': 'NA', 'c': 'NA'}",BCC,Soft,Ferromagnetic,,Si0.76 HEA,Bulk,,,"{'Value': '108', 'Units': 'Am^2/kg', 'Temperature': 'NA'}",,,
"{'Value': '23.2', 'Units': 'MGOe', 'Temperature': 'NA'}",,,,,"{'Value': '11.8', 'Units': 'kOe', 'Temperature': 'NA'}",Hexagonal,,,10.1016/j.matchar.2024.114440,true,,,,Hard,Ferromagnetic,,Sm0.4Pr0.6Co5,Bulk,,"{'Value': '9.82', 'Units': 'kG', 'Temperature': 'NA'}",,,,
"{'Value': '30.07', 'Units': 'MGOe', 'Temperature': 'NA'}",,,,"{'Value': '65', 'Units': 'kOe', 'Type': 'NA', 'Temperature': 'NA'}","{'Value': '32.12', 'Units': 'kOe', 'Temperature': 'NA'}",Rhombohedral,800 °C,,10.1016/j.matchar.2024.114521,true,,,Th2Zn17-type,Hard,Ferromagnetic,,Pr-0,Bulk,,"{'Value': '11.23', 'Units': 'kGs', 'Temperature': 'NA'}","{'Value': '11.49', 'Units': 'kGs', 'Temperature': 'NA'}",R-3m,,
"{'Value': '30.21', 'Units': 'MGOe', 'Temperature': 'NA'}",,,,,"{'Value': '34.71', 'Units': 'kOe', 'Temperature': 'NA'}",Rhombohedral,800 °C,,10.1016/j.matchar.2024.114521,true,,,Th2Zn17-type,Hard,Ferromagnetic,,Pr-5,Bulk,,"{'Value': '11.36', 'Units': 'kGs', 'Temperature': 'NA'}","{'Value': '11.68', 'Units': 'kGs', 'Temperature': 'NA'}",R-3m,,
"{'Value': '29.75', 'Units': 'MGOe', 'Temperature': 'NA'}",,,,,"{'Value': '32.37', 'Units': 'kOe', 'Temperature': 'NA'}",Rhombohedral,800 °C,,10.1016/j.matchar.2024.114521,true,,,Th2Zn17-type,Hard,Ferromagnetic,,Pr-10,Bulk,,"{'Value': '11.26', 'Units': 'kGs', 'Temperature': 'NA'}","{'Value': '11.5', 'Units': 'kGs', 'Temperature': 'NA'}",R-3m,,
"{'Value': '29.3', 'Units': 'MGOe', 'Temperature': 'NA'}",,,,,"{'Value': '30.84', 'Units': 'kOe', 'Temperature': 'NA'}",Rhombohedral,800 °C,,10.1016/j.matchar.2024.114521,true,,,Th2Zn17-type,Hard,Ferromagnetic,,Pr-15,Bulk,,"{'Value': '11.23', 'Units': 'kGs', 'Temperature': 'NA'}","{'Value': '11.48', 'Units': 'kGs', 'Temperature': 'NA'}",R-3m,,
,"{'Value': '4.3', 'Units': 'MJ/m^3', 'Type': 'NA', 'Temperature': 'NA'}",,,,"{'Value': '840', 'Units': 'kA/m', 'Temperature': '25 °C'}",,,,10.1016/j.matchar.2024.114527,true,,,,Hard,Ferromagnetic,,Nd-Ce-Fe-B,Bulk,,"{'Value': '1.165', 'Units': 'T', 'Temperature': '25 °C'}","{'Value': '1.61', 'Units': 'T', 'Temperature': 'NA'}",,,
,"{'Value': '4.78', 'Units': 'MJ/m^3', 'Type': 'NA', 'Temperature': 'NA'}",,,,,,,,10.1016/j.matchar.2024.114527,false,,,,Hard,Ferromagnetic,,"(Nd0.7, Tb0.3)2Fe14B",Bulk,,,"{'Value': '1.337', 'Units': 'T', 'Temperature': 'NA'}",,,
,,,,,"{'Value': '16.41', 'Units': 'A/m', 'Temperature': 'NA'}",FCC,,,10.1016/j.matchar.2024.114690,true,,"{'a': '3.5589', 'b': 'NA', 'c': 'NA'}",Cubic,Soft,Ferromagnetic,,NiFeMoCu,Bulk,,,"{'Value': '0.7089', 'Units': 'T', 'Temperature': 'NA'}",Fm-3m,,
,"{'Value': '0.92e5', 'Units': 'J/m^3', 'Type': 'NA', 'Temperature': '300 K'}",,,,"{'Value': '117.25', 'Units': 'Oe', 'Temperature': '300 K'}",Hexagonal,,,10.1016/j.matchemphys.2006.02.018,true,,,,Soft,Ferrimagnetic,5.3297 g/cm^3,Ba3Co1.3Zn0.3Cu0.4Fe24O41,Bulk,,,"{'Value': '62.95', 'Units': 'emu/g', 'Temperature': '300 K'}",,,
,,,,,"{'Value': '5593.4', 'Units': 'Oe', 'Temperature': 'Room Temperature'}",Hexagonal,,,10.1016/j.matchemphys.2007.09.019,true,,"{'a': '5.8808', 'b': 'NA', 'c': '23.2467'}",Hexagonal,Hard,Ferromagnetic,,Barium Ferrite,Bulk,,"{'Value': '32.263', 'Units': 'emu/g', 'Temperature': 'Room Temperature'}","{'Value': '64.153', 'Units': 'emu/g', 'Temperature': 'Room Temperature'}",,,
,,,,,"{'Value': '5581.9', 'Units': 'Oe', 'Temperature': 'Room Temperature'}",Hexagonal,,,10.1016/j.matchemphys.2007.09.019,true,,"{'a': '5.8843', 'b': 'NA', 'c': '23.3181'}",Hexagonal,Hard,Ferromagnetic,,Ni(OH)2 Coated Barium Ferrite,Bulk,,"{'Value': '30.681', 'Units': 'emu/g', 'Temperature': 'Room Temperature'}","{'Value': '61.267', 'Units': 'emu/g', 'Temperature': 'Room Temperature'}",,,
"{'Value': '46.2', 'Units': 'MGOe', 'Temperature': ''}",,,,,"{'Value': '11.4', 'Units': 'kOe', 'Temperature': ''}",,,,10.1016/j.matchemphys.2014.06.046,true,,,,Hard,Ferromagnetic,7.51 g/cm^3,Nd–Fe–B with Cu and Nb,Bulk,,"{'Value': '13.6', 'Units': 'kGs', 'Temperature': ''}",,,,
"{'Value': '48', 'Units': 'MGOe', 'Temperature': 'NA'}",,,,,"{'Value': '12', 'Units': 'kOe', 'Temperature': 'NA'}",,,,10.1016/j.matchemphys.2014.11.046,true,,,,Hard,Ferromagnetic,,Two-powder magnet with 12 wt% additives,Bulk,,,,,,
,,,,,"{'Value': '3.81', 'Units': 'kOe', 'Temperature': ''}",Hexagonal,,,10.1016/j.matchemphys.2014.11.061,true,,,,Hard/Soft,Ferromagnetic,,SrFe12O19/Fe–Co,Bulk,,,"{'Value': '80.5', 'Units': 'emu/g', 'Temperature': ''}",,,
,"{'Value': '8658.407', 'Units': 'J/m^3', 'Type': 'Uniaxial', 'Temperature': 'NA'}",,,,,Rhombohedral,255 K,,10.1016/j.matchemphys.2016.07.051,true,,,,Soft,Ferromagnetic,,La0.6Ca0.4MnO3,Bulk,,,"{'Value': '2.82', 'Units': 'μB/Mn', 'Temperature': 'NA'}",R-3c,,
,"{'Value': '6247.388', 'Units': 'J/m^3', 'Type': 'Uniaxial', 'Temperature': 'NA'}",,,,,Orthorhombic,355 K,,10.1016/j.matchemphys.2016.07.051,true,,,,Soft,Ferromagnetic,,La0.6Sr0.4MnO3,Bulk,,,"{'Value': '3.00', 'Units': 'μB/Mn', 'Temperature': 'NA'}",Pbnm,,
,"{'Value': '7351.447', 'Units': 'J/m^3', 'Type': 'Uniaxial', 'Temperature': 'NA'}",,,,,,290 K,,10.1016/j.matchemphys.2016.07.051,true,,,,Soft,Ferromagnetic,,La0.6Ca0.35Sr0.05MnO3,Bulk,,,"{'Value': '3.412', 'Units': 'μB/Mn', 'Temperature': 'NA'}",,,
,"{'Value': '2.3', 'Units': '× 10^6 erg/cm^3', 'Type': 'Effective', 'Temperature': '5 K'}",,,,,Spinel,,,10.1016/j.matchemphys.2017.01.066,true,,,Cubic,Soft,Antiferromagnetic,,ZnO/ZnFe2O4,Bulk,,"{'Value': '0.135', 'Units': 'M_R/M_S', 'Temperature': '5 K'}",,,,
,"{'Value': '2.02e6', 'Units': 'erg/cm^3', 'Type': 'NA', 'Temperature': 'NA'}",,,,"{'Value': '1.134', 'Units': 'kOe', 'Temperature': 'NA'}",Spinel,,,10.1016/j.matchemphys.2018.02.008,true,,"{'a': '8.376', 'b': '8.376', 'c': '8.376'}",Cubic,Hard,Ferrimagnetic,,CoFe1.9Cr0.1O4,Bulk,,,"{'Value': '48', 'Units': 'emu/g', 'Temperature': 'NA'}",Fd-3m,,
,"{'Value': '2.55e6', 'Units': 'erg/cm^3', 'Type': 'NA', 'Temperature': 'NA'}",,,,"{'Value': '0.868', 'Units': 'kOe', 'Temperature': 'NA'}",Spinel,672 K,,10.1016/j.matchemphys.2018.02.008,true,,"{'a': '8.372', 'b': '8.372', 'c': '8.372'}",Cubic,Soft,Ferrimagnetic,,CoFe1.8Cr0.2O4,Bulk,,,"{'Value': '53', 'Units': 'emu/g', 'Temperature': 'NA'}",Fd-3m,,
,"{'Value': '1.18e6', 'Units': 'erg/cm^3', 'Type': 'NA', 'Temperature': 'NA'}",,,,"{'Value': '0.674', 'Units': 'kOe', 'Temperature': 'NA'}",Spinel,,,10.1016/j.matchemphys.2018.02.008,true,,"{'a': '8.368', 'b': '8.368', 'c': '8.368'}",Cubic,Soft,Ferrimagnetic,,CoFe1.7Cr0.3O4,Bulk,,,"{'Value': '29', 'Units': 'emu/g', 'Temperature': 'NA'}",Fd-3m,,
,"{'Value': '0.91e6', 'Units': 'erg/cm^3', 'Type': 'NA', 'Temperature': 'NA'}",,,,"{'Value': '0.445', 'Units': 'kOe', 'Temperature': 'NA'}",Spinel,,,10.1016/j.matchemphys.2018.02.008,true,,"{'a': '8.365', 'b': '8.365', 'c': '8.365'}",Cubic,Soft,Ferrimagnetic,,CoFe1.6Cr0.4O4,Bulk,,,"{'Value': '20', 'Units': 'emu/g', 'Temperature': 'NA'}",Fd-3m,,
,,,,,"{'Value': '13.6', 'Units': 'kOe', 'Temperature': 'NA'}",,,,10.1016/j.matchemphys.2020.124210,true,,,,Hard,Ferromagnetic,,Nd13.53Fe74.89Co5.54B6.04 + 1% Al89.5Cu9.7Fe0.8,Bulk,,"{'Value': '66.1', 'Units': 'emu/g', 'Temperature': 'NA'}","{'Value': '107.4', 'Units': 'emu/g', 'Temperature': 'NA'}",,,
,,,,,"{'Value': '11.2', 'Units': 'kOe', 'Temperature': 'NA'}",,,,10.1016/j.matchemphys.2020.124210,true,,,,Hard,Ferromagnetic,,Nd13.53Fe74.89Co5.54B6.04 + 2% Al89.5Cu9.7Fe0.8,Bulk,,"{'Value': '64.8', 'Units': 'emu/g', 'Temperature': 'NA'}","{'Value': '91.1', 'Units': 'emu/g', 'Temperature': 'NA'}",,,
,,,,,"{'Value': '10.5', 'Units': 'kOe', 'Temperature': 'NA'}",,,,10.1016/j.matchemphys.2020.124210,true,,,,Hard,Ferromagnetic,,Nd13.53Fe74.89Co5.54B6.04 + 3% Al89.5Cu9.7Fe0.8,Bulk,,"{'Value': '60.5', 'Units': 'emu/g', 'Temperature': 'NA'}","{'Value': '85.9', 'Units': 'emu/g', 'Temperature': 'NA'}",,,
"{'Value': '7.5', 'Units': 'MGOe', 'Temperature': 'NA'}",,,,,"{'Value': '4.2', 'Units': 'kOe', 'Temperature': 'Room Temperature'}",Hexagonal,,,10.1016/j.matchemphys.2022.126179,true,,,,Hard,Ferromagnetic,,CeCo4.4Fe0.6Cu0.6,Bulk,,,,P6/mmm,,
"{'Value': '7.5', 'Units': 'MGOe', 'Temperature': 'NA'}",,,,,"{'Value': '9.0', 'Units': 'kOe', 'Temperature': 'Room Temperature'}",Hexagonal,,,10.1016/j.matchemphys.2022.126179,true,,,,Hard,Ferromagnetic,,CeCo3.9Fe0.6Cu1.2,Bulk,,,,P6/mmm,,
,"{'Value': '4.98', 'Units': '10^3 J/m^3', 'Type': 'NA', 'Temperature': '60K'}",,,,"{'Value': '96', 'Units': 'Oe', 'Temperature': '300K'}",Cubic,,,10.1016/j.matchemphys.2022.126212,true,,"{'a': '8.374', 'b': 'NA', 'c': 'NA'}",,Soft,Ferromagnetic,,Copper Ferrite (Cubic),Bulk,,"{'Value': '6.3', 'Units': 'emu/g', 'Temperature': '300K'}","{'Value': '39.4', 'Units': 'emu/g', 'Temperature': '300K'}",,,
,"{'Value': '16.0', 'Units': '10^3 J/m^3', 'Type': 'NA', 'Temperature': '60K'}",,,,"{'Value': '452', 'Units': 'Oe', 'Temperature': '300K'}",Tetragonal,,,10.1016/j.matchemphys.2022.126212,true,,"{'a': '5.839', 'b': 'NA', 'c': '8.623'}",,Soft,Ferromagnetic,,Copper Ferrite (Tetragonal),Bulk,,"{'Value': '14.6', 'Units': 'emu/g', 'Temperature': '300K'}","{'Value': '31.5', 'Units': 'emu/g', 'Temperature': '300K'}",,,
"{'Value': '5.77', 'Units': 'MGOe', 'Temperature': '975 °C'}",,,,,"{'Value': '5505', 'Units': 'Oe', 'Temperature': '975 °C'}",Hexagonal,474 °C,,10.1016/j.matchemphys.2022.126513,true,,"{'a': '5.87890', 'b': '5.87890', 'c': '23.05844'}",Hexagonal,Hard,Ferrimagnetic,,Strontium Hexaferrite,Bulk,,"{'Value': '347', 'Units': 'mT', 'Temperature': '975 °C'}",,P63/mmc,,
,"{'Value': '7.33', 'Units': '10^5 erg/g', 'Type': 'NA', 'Temperature': 'Room Temperature'}",,,"{'Value': '34.18', 'Units': 'kOe', 'Type': 'NA', 'Temperature': 'Room Temperature'}","{'Value': '24.44', 'Units': 'kOe', 'Temperature': 'Room Temperature'}",Hexagonal,732 K,,10.1016/j.matchemphys.2022.126842,true,,"{'a': '5.78', 'b': 'NA', 'c': '22.71'}",Magnetoplumbite,Hard,Ferromagnetic,4.78 g/cm^3,SrFe7.98Ni0.02Al4O19,Bulk,,"{'Value': '5.3', 'Units': 'emu/g', 'Temperature': 'Room Temperature'}","{'Value': '9.9', 'Units': 'emu/g', 'Temperature': 'Room Temperature'}",P63/mmc,,
"{'Value': '16.2', 'Units': 'MGOe', 'Temperature': 'Room Temperature'}","{'Value': '5.84', 'Units': '10^5 erg/g', 'Type': 'NA', 'Temperature': 'Room Temperature'}",,,"{'Value': '25.39', 'Units': 'kOe', 'Type': 'NA', 'Temperature': 'Room Temperature'}","{'Value': '17.12', 'Units': 'kOe', 'Temperature': 'Room Temperature'}",Hexagonal,732 K,,10.1016/j.matchemphys.2022.126842,true,,"{'a': '5.80', 'b': 'NA', 'c': '22.77'}",Magnetoplumbite,Hard,Ferromagnetic,4.88 g/cm^3,SrFe8.985Ni0.015Al3O19,Bulk,,"{'Value': '12.34', 'Units': 'emu/g', 'Temperature': 'Room Temperature'}","{'Value': '20.1', 'Units': 'emu/g', 'Temperature': 'Room Temperature'}",P63/mmc,,
,"{'Value': '2.95', 'Units': '×10^7 erg/cm^3', 'Type': 'NA', 'Temperature': 'NA'}",,"{'Value': '4.2', 'Units': 'meV', 'Type': 'NA', 'Temperature': 'NA'}",,,Monoclinic,320 K,,10.1016/j.matchemphys.2022.126946,false,,"{'a': '5.393', 'b': '5.508', 'c': '7.679'}",,Soft,Ferrimagnetic,,Ca2FeOsO6,Bulk,,,,P21/n,,
,"{'Value': '1.76', 'Units': '×10^7 erg/cm^3', 'Type': 'NA', 'Temperature': 'NA'}",,"{'Value': '2.5', 'Units': 'meV', 'Type': 'NA', 'Temperature': 'NA'}",,,Monoclinic,301 K,,10.1016/j.matchemphys.2022.126946,false,,,,Soft,Ferrimagnetic,,Co-doped Ca2FeOsO6,Bulk,,,,P-1,,
,"{'Value': '1.33', 'Units': '×10^7 erg/cm^3', 'Type': 'NA', 'Temperature': 'NA'}",,"{'Value': '1.9', 'Units': 'meV', 'Type': 'NA', 'Temperature': 'NA'}",,,Monoclinic,273 K,,10.1016/j.matchemphys.2022.126946,false,,,,Soft,Ferrimagnetic,,Ni-doped Ca2FeOsO6,Bulk,,,,P-1,,
,,,,,,Orthorhombic,110 K,,10.1016/j.matchemphys.2022.127058,false,,"{'a': '5.2853', 'b': '5.5953', 'c': '7.5891'}",,Soft,Antiferromagnetic,,HoVO3,Bulk,,,,Pbnm,,
,,,,,"{'Value': '1400.17-1476.0', 'Units': 'Oe', 'Temperature': 'NA'}",Hexagonal,663 K,,10.1016/j.matchemphys.2023.128139,true,,"{'a': '5.8523-5.8727', 'b': 'NA', 'c': '43.5090-43.5020'}",,Soft,Ferrimagnetic,1.78-2.06 g/cm^3,Dy-doped Ni2Y-type strontium hexaferrite,Bulk,,"{'Value': '9.31-13.15', 'Units': 'emu/g', 'Temperature': 'NA'}","{'Value': '36.37-48.64', 'Units': 'emu/g', 'Temperature': 'NA'}",R3m,,
,,,,"{'Value': '1.74e4', 'Units': 'Oe', 'Type': 'NA', 'Temperature': 'NA'}","{'Value': '56.98', 'Units': 'Oe', 'Temperature': 'NA'}",Hexagonal and Monoclinic,,,10.1016/j.matchemphys.2023.128326,true,,"{'a': '0.325', 'b': 'NA', 'c': '0.521'}",Hexagonal,Hard,Ferromagnetic,,Cd0.40Mn0.60ZnO2,Bulk,,,"{'Value': '3.063', 'Units': 'emu/g', 'Temperature': 'NA'}",P-63/mc and c12/m1,,
,,,,"{'Value': '1.18e4', 'Units': 'Oe', 'Type': 'NA', 'Temperature': 'NA'}","{'Value': '54.79', 'Units': 'Oe', 'Temperature': 'NA'}",Hexagonal and Cubic,,,10.1016/j.matchemphys.2023.128326,true,,"{'a': '0.265', 'b': 'NA', 'c': '0.312'}",Hexagonal,Hard,Ferromagnetic,,Cd0.40Ni0.60ZnO2,Bulk,,,"{'Value': '1.877', 'Units': 'emu/g', 'Temperature': 'NA'}",P6-3mc and F4/m-32/m,,
,"{'Value': '4.14', 'Units': '10^8 erg/cm^3', 'Type': 'NA', 'Temperature': 'NA'}",,,,"{'Value': '782.7', 'Units': 'Oe', 'Temperature': '300 K'}",Cubic,,,10.1016/j.matchemphys.2023.128765,true,,"{'a': '8.380', 'b': '8.380', 'c': '8.380'}",Fd-3m,Soft,Ferromagnetic,,Li0.25Zn0.3Co0.15Fe2.3O4,Bulk,,,"{'Value': '40.8', 'Units': 'emu/g', 'Temperature': '300 K'}",Fd-3m,,
,,,,,"{'Value': '41', 'Units': 'Oe', 'Temperature': 'NA'}",,,,10.1016/j.matchemphys.2023.128765,false,,,,Soft,Ferromagnetic,,MnFe2O4,Bulk,,,"{'Value': '526', 'Units': 'emu/g', 'Temperature': 'NA'}",,,
,,,,,"{'Value': '63', 'Units': 'Oe', 'Temperature': 'NA'}",,,,10.1016/j.matchemphys.2023.128765,false,,,,Soft,Ferromagnetic,,Ni0.3Zn0.4Co0.3Fe2O4,Bulk,,,"{'Value': '84', 'Units': 'emu/g', 'Temperature': 'NA'}",,,
,,,,,"{'Value': '600', 'Units': 'Oe', 'Temperature': 'NA'}",,,,10.1016/j.matchemphys.2023.128765,false,,,,Hard,Ferromagnetic,,CoFe2O4,Bulk,,,"{'Value': '63', 'Units': 'emu/g', 'Temperature': 'NA'}",,,
,"{'Value': '0.700', 'Units': '10^6 erg/cm^3', 'Type': 'NA', 'Temperature': '300 K'}",,,,"{'Value': '1158.65', 'Units': 'Oe', 'Temperature': '300 K'}",Spinel,,,10.1016/j.matchemphys.2023.128832,true,,"{'a': '8.388', 'b': 'NA', 'c': 'NA'}",Cubic,Soft,Ferromagnetic,,CoFe2O4,Bulk,,,"{'Value': '69.48', 'Units': 'emu/g', 'Temperature': '300 K'}",Fd-3m,,
,"{'Value': '0.485', 'Units': '10^6 erg/cm^3', 'Type': 'NA', 'Temperature': '300 K'}",,,,"{'Value': '802.25', 'Units': 'Oe', 'Temperature': '300 K'}",Spinel,,,10.1016/j.matchemphys.2023.128832,true,,"{'a': '8.39', 'b': 'NA', 'c': 'NA'}",Cubic,Soft,Ferromagnetic,,CoFe1.75Al0.25O4,Bulk,,,"{'Value': '57.81', 'Units': 'emu/g', 'Temperature': '300 K'}",Fd-3m,,
,"{'Value': '0.439', 'Units': '10^6 erg/cm^3', 'Type': 'NA', 'Temperature': '300 K'}",,,,"{'Value': '1228.32', 'Units': 'Oe', 'Temperature': '300 K'}",Spinel,,,10.1016/j.matchemphys.2023.128832,true,,"{'a': '8.385', 'b': 'NA', 'c': 'NA'}",Cubic,Soft,Ferromagnetic,,CoFe1.5Al0.5O4,Bulk,,,"{'Value': '51.29', 'Units': 'emu/g', 'Temperature': '300 K'}",Fd-3m,,
,"{'Value': '0.372', 'Units': '10^6 erg/cm^3', 'Type': 'NA', 'Temperature': '300 K'}",,,,"{'Value': '469.97', 'Units': 'Oe', 'Temperature': '300 K'}",Spinel,,,10.1016/j.matchemphys.2023.128832,true,,"{'a': '8.384', 'b': 'NA', 'c': 'NA'}",Cubic,Soft,Ferromagnetic,,CoFe1.25Al0.75O4,Bulk,,,"{'Value': '42.34', 'Units': 'emu/g', 'Temperature': '300 K'}",Fd-3m,,
,"{'Value': '0.257', 'Units': '10^6 erg/cm^3', 'Type': 'NA', 'Temperature': '300 K'}",,,,"{'Value': '264.53', 'Units': 'Oe', 'Temperature': '300 K'}",Spinel,,,10.1016/j.matchemphys.2023.128832,true,,"{'a': '8.321', 'b': 'NA', 'c': 'NA'}",Cubic,Soft,Ferromagnetic,,CoFeAlO4,Bulk,,,"{'Value': '26.38', 'Units': 'emu/g', 'Temperature': '300 K'}",Fd-3m,,
"{'Value': '405.03', 'Units': 'kJ/m^3', 'Temperature': '25 °C'}",,,,,"{'Value': '1704', 'Units': 'kA/m', 'Temperature': '25 °C'}",,,,10.1016/j.matchemphys.2023.128839,true,,,,Hard,Ferromagnetic,,Nd-Fe-B with Tb70Cu30 diffusion,Bulk,,"{'Value': '1.453', 'Units': 'T', 'Temperature': '25 °C'}",,,,
"{'Value': '398.77', 'Units': 'kJ/m^3', 'Temperature': '25 °C'}",,,,,"{'Value': '1677', 'Units': 'kA/m', 'Temperature': '25 °C'}",,,,10.1016/j.matchemphys.2023.128839,true,,,,Hard,Ferromagnetic,,Nd-Fe-B with Tb60Gd10Cu30 diffusion,Bulk,,"{'Value': '1.442', 'Units': 'T', 'Temperature': '25 °C'}",,,,
"{'Value': '403.44', 'Units': 'kJ/m^3', 'Temperature': '25 °C'}",,,,,"{'Value': '1593', 'Units': 'kA/m', 'Temperature': '25 °C'}",,,,10.1016/j.matchemphys.2023.128839,true,,,,Hard,Ferromagnetic,,Nd-Fe-B with Tb50Gd20Cu30 diffusion,Bulk,,"{'Value': '1.452', 'Units': 'T', 'Temperature': '25 °C'}",,,,
"{'Value': '335', 'Units': 'kJ/m^3', 'Temperature': 'NA'}",,,,,"{'Value': '1418', 'Units': 'kA/m', 'Temperature': 'NA'}",,312 °C,,10.1016/j.matchemphys.2024.128901,true,,,,Hard,Ferromagnetic,,Dy-diffused NdFeB Magnet,Bulk,,"{'Value': '1.325', 'Units': 'T', 'Temperature': 'NA'}",,,,
,"{'Value': '1.7', 'Units': '×10^8 erg/cm^3', 'Type': 'NA', 'Temperature': 'NA'}",,,,"{'Value': '1.1', 'Units': 'T', 'Temperature': 'NA'}",Monoclinic,198 K,,10.1016/j.matchemphys.2024.128966,false,,"{'a': '5.2599', 'b': '5.6888', 'c': '7.5756'}",,Hard,Ferrimagnetic,,Y2NiIrO6,Bulk,,,,P21/n,,
,"{'Value': '2.1', 'Units': '×10^8 erg/cm^3', 'Type': 'NA', 'Temperature': 'NA'}",,,,,Monoclinic,250 K,,10.1016/j.matchemphys.2024.128966,false,,,,Hard,Ferrimagnetic,,Os@Ir-doped Y2NiIrO6,Bulk,,,,P21/n,,
